file_name,MAE,nMAE,RMSE,nRMSE,R,MAPE,MBE,SS-MAE,SS-RMSE
60I_300H ghi_result.csv,91.16,0.15,140.02,0.23,0.8959,20.52%,4.08,5.38%,20.25%
60I_300H dhi_result.csv,33.17,0.11,50.04,0.17,0.912,12.2%,-4.2,-2.95%,9.56%
60I_300H dni_result.csv,93.28,0.25,139.46,0.38,0.8707,nan%,9.27,-10.14%,15.54%
300-300 ghi_result.csv,97.92,0.16,146.69,0.24,0.885,21.28%,3.16,-5.15%,14.25%
300-300 dhi_result.csv,33.79,0.11,51.87,0.17,0.9067,12.64%,1.3,-5.03%,8.98%
300-300 dni_result.csv,102.28,0.28,150.23,0.41,0.8492,nan%,12.53,-25.01%,7.14%
